要知道那个时期的家族是以女性为核心组成，人们只知其母，不知其父。	yàozhīdàonàgèshíqīdejiāzúshìyǐnv̌xìngwèihéxīnzǔchéng，rénmenzhǐzhīqímǔ，bùzhīqífù。	To know the family that period is at the core of women, people only know his mother, I do not know his father.
后来随着男权社会的到来，才改成都随父亲姓了。	hòuláisúizháonánquánshèhùidedàolái，cáigǎichéngdūsúifùqīnxìngle。	Later, with the advent of the patriarchal society, it did not change the name of Chengdu with his father.
在中国古代，随着社会的进步和人口的增多，人们有了把某一群人和另一群人区分开来的需要，即我们后来所说的姓。	zàizhōngguógǔdài，súizháoshèhùidejìnbùhérénkǒudezēngduō，rénmenyǒulebǎmǒuyīqúnrénhélìngyīqúnrénqūfēnkāiláidexūyào，jíwǒmenhòuláisuǒshuōdexìng。	In ancient China, with the increase in population and the progress of society, people have to distinguish a certain group of people to another group of people needs area, which we later said the name. 
再后来，人们为了把彼此之间都区分开来，出现了只属于个人的标志，即我们后来所说的名。	zàihòulái，rénmenwèilebǎbǐcǐzhījiāndūqūfēnkāilái，chūxiànlezhǐshǔyúgèréndebiāozhì，jíwǒmenhòuláisuǒshuōdemíng。	Still later, people in order to distinguish between them all area appeared to mark belongs only to the individual, which we later said the name. 
在社会交往中，无论哪一群人，在自己内部只用名便可以区分彼此，但若与另一群人交往，仅仅称名便不足以表明自己的身份，只有把自己所在人群的标志姓与自己的标志名结合在一起，才能充分地表明自己的身份。	zàishèhùijiāowǎngzhōng，wúlùnnǎyīqúnrén，zàizìjǐnèibùzhǐyòngmíngbiànkěyǐqūfēnbǐcǐ，dànruòyǔlìngyīqúnrénjiāowǎng，jǐnjǐnchēngmíngbiànbùzúyǐbiǎomíngzìjǐdeshēnfèn，zhǐyǒubǎzìjǐsuǒzàirénqúndebiāozhìxìngyǔzìjǐdebiāozhìmíngjiéhézàiyīqǐ，cáinéngchōngfēndìbiǎomíngzìjǐdeshēnfèn。	In social interaction, regardless of which group of people, in their own internal use only name will be distinguished from each other, but if dealing with another group of people, just say the name will be insufficient to identify themselves, only their own mark where the population surname  combined with its own tag name together, in order to fully identify themselves.
由此诞生了人类最早的姓名。	yóucǐdànshēnglerénlèizùizǎodexìngmíng。	Thus was born the earliest human name. 
在中国传统的文化体系中，取名是一件非常慎重的事，于是许多家庭在暂未定下孩子的名字前会先给孩子取一个小名，以便在家庭和较亲密的人中进行称呼。	zàizhōngguóchuántǒngdewénhuàtǐxìzhōng，qǔmíngshìyījiànfēichángshènzhòngdeshì，yúshìxǔduōjiātíngzàizànwèidìngxiàháizǐdemíngzìqiánhùixiāngěiháizǐqǔyīgèxiǎomíng，yǐbiànzàijiātínghéjiàoqīnmìderénzhōngjìnxíngchēnghū。	In traditional Chinese culture system, the name is a very prudent thing, so many families will give a child a nickname yet set in front of the child's name to be called at home and a more intimate people.
由于小名往往是孩子出生不久，还在哺乳时期就起了，所以又称作乳名、奶名、幼名或小字，特指婴儿初生时家长所取的名字。	yóuyúxiǎomíngwǎngwǎngshìháizǐchūshēngbùjǐu，huánzàibǔrǔshíqījìuqǐle，suǒyǐyòuchēngzuòrǔmíng、nǎimíng、yòumínghuòxiǎozì，tèzhǐyīngérchūshēngshíjiāchángsuǒqǔdemíngzì。	Because nickname is often a child shortly after birth, breast-feeding is still time to play, so they called nicknames, milk name, the name of the young or small print, especially when the parents of a newborn baby to take the name.
古代文献中有明确记载取乳名历史的，是从秦汉时开始。	gǔdàiwénxiànzhōngyǒumíngquèjìzàiqǔrǔmínglìshǐde，shìcóngqínhànshíkāishǐ。	Ancient literature there are clearly documented history of taking a tough time, beginning from the Qin and Han Dynasties.
相对取大名来说取小名比较随意一些。	xiāngdùiqǔdàmíngláishuōqǔxiǎomíngbǐjiàosúiyìyīxiē。	Name nickname is taken relative orientation more random number.
小名或许与孩子出生时的经历有关，比如：郑庄公5出生时难产，所以取小名为寤生6； 或许与数字相关，比如朱元璋7小名是朱重八，这与他的生日有关；或许与孩子的相貌相关，比如我表妹生下来胖乎乎的很可爱，大家都叫她胖胖；又或许与动物相关，比如我表弟是龙年出生的，小名叫大龙；或许成叠字，比如我堂哥大名是单字昊，小名是昊昊；而我的情况是大名本身就是叠字，为了表示再亲近一些，家里人都叫我小佳佳。	xiǎomínghuòxǔyǔháizǐchūshēngshídejīnglìyǒuguān，bǐrú：zhèngzhuānggōng5chūshēngshínánchǎn，suǒyǐqǔxiǎomíngwèiwùshēng6； huòxǔyǔshùzìxiāngguān，bǐrúzhūyuánzhāng7xiǎomíngshìzhūzhòngbā，zhèyǔtādeshēngrìyǒuguān；huòxǔyǔháizǐdexiāngmàoxiāngguān，bǐrúwǒbiǎomèishēngxiàláipànghūhūdehěnkěài，dàjiādūjiàotāpàngpàng；yòuhuòxǔyǔdòngwùxiāngguān，bǐrúwǒbiǎodìshìlóngniánchūshēngde，xiǎomíngjiàodàlóng；huòxǔchéngdiézì，bǐrúwǒtánggēdàmíngshìdānzìhào，xiǎomíngshìhàohào；érwǒdeqíngkuàngshìdàmíngběnshēnjìushìdiézì，wèilebiǎoshìzàiqīnjìnyīxiē，jiālǐréndūjiàowǒxiǎojiājiā。	Perhaps the nickname when a child is born with experience related, such as: Zheng Zhuanggong 5:00 dystocia birth, so take a small student named http 6 ; perhaps related to numbers, such as 7 nickname is the emperor Zhu heavy eight, which is related to his birthday ; perhaps related to the child's appearance, such as my cousin was born chubby is cute, we called her fat ; perhaps related to animals, such as my cousin was born in the Year of the dragon, a small man named Tai Lung; perhaps to stack word, like my cousin Hao Daming is the word nickname is Hao Hao; and my situation is stacked name itself is a character, and then close in order to express some of the family calls me Allison.
当然小名还有可能取之为其他各种各样的原因。	dāngránxiǎomínghuányǒukěnéngqǔzhīwèiqítāgèzhǒnggèyángdeyuányīn。	Of course, the nickname is also possible to take it to a variety of other reasons.
下面咱们来说一说中文名和西方一些国家姓名文化的主要区别。	xiàmiànzánmenláishuōyīshuōzhōngwénmínghéxīfāngyīxiēguójiāxìngmíngwénhuàdezhǔyàoqūbié。	Here we come to talk about the main difference between Chinese names and some Western countries in the name of culture.
首先，姓名排序不一样，西方大多数国家是名字放前，姓放后。	shǒuxiān，xìngmíngpáixùbùyīyáng，xīfāngdàduōshùguójiāshìmíngzìfàngqián，xìngfànghòu。	First of all, the name is not the same sort most Western countries put former name, last name after release.
而中国是姓放前，名放后。	érzhōngguóshìxìngfàngqián，míngfànghòu。	While China is named after the former release, put the name.
比如李小龙，他的姓是李，名字是小龙。	bǐrúlǐxiǎolóng，tādexìngshìlǐ，míngzìshìxiǎolóng。	Such as Bruce Lee, his family name is Lee, the name of dragons. 
所以如果你想以先生去称呼一位中国男士，请千万别弄错了哪个字才是他的姓。	suǒyǐrúguǒnǐxiǎngyǐxiānshēngqùchēnghūyīwèizhōngguónánshì，qǐngqiānwànbiénòngcuòlenǎgèzìcáishìtādexìng。	So if you want to sir to refer to a Chinese man, please do not mistake Which word is his last name.
比如，李小龙，你可以称呼他为李先生，但不能是龙先生。	bǐrú，lǐxiǎolóng，nǐkěyǐchēnghūtāwèilǐxiānshēng，dànbùnéngshìlóngxiānshēng。	For example, Bruce Lee, Lee you can call him Sir, but can not be long. Mr.
这个是在日常生活中我听得比较多的错误；第二，西方有些国家比如西班牙，一个人的姓是由父、母两个人的姓组成的。	zhègèshìzàirìchángshēnghuózhōngwǒtīngdébǐjiàoduōdecuòwù；dìèr，xīfāngyǒuxiēguójiābǐrúxībānyá，yīgèréndexìngshìyóufù、mǔliǎnggèréndexìngzǔchéngde。	This is in everyday life I hear more mistakes; second, some Western countries such as Spain, a person's surname is the father, the mother's surname consisting of two people.
而中国你只能选择父、母其中一个人的姓；第三，中国女人结婚后不改成夫姓，仍然保留自己完整的姓名。	érzhōngguónǐzhǐnéngxuǎnzéfù、mǔqízhōngyīgèréndexìng；dìsān，zhōngguónv̌rénjiéhūnhòubùgǎichéngfūxìng，réngránbǎolíuzìjǐwánzhěngdexìngmíng。	And China you can only choose a parent of one of them named; third, China does not change the woman after marriage the husband's surname, still retain their full name.
而西方很多国家女人结婚后要改随丈夫姓。	érxīfānghěnduōguójiānv̌rénjiéhūnhòuyàogǎisúizhàngfūxìng。	And after many Western countries married women want to change the name with her husband.
第四，中国人的名字没有第一名字、中间名字的概念，名字是一个统一体。	dìsì，zhōngguóréndemíngzìméiyǒudìyīmíngzì、zhōngjiānmíngzìdegàiniàn，míngzìshìyīgètǒngyītǐ。	Fourth, the Chinese name is not the first name, middle name of the concept, the name is a continuum.
而很多西方国家都采用双名制，在有宗教信仰的家庭中，有时其中一个名字是教名。	érhěnduōxīfāngguójiādūcǎiyòngshuāngmíngzhì，zàiyǒuzōngjiàoxìnyǎngdejiātíngzhōng，yǒushíqízhōngyīgèmíngzìshìjiàomíng。	Many Western countries have adopted dual-name system, in religious families, which sometimes is a name given name.
其实说中国人的名字是一个统一体不能说完全正确。	qíshíshuōzhōngguóréndemíngzìshìyīgètǒngyītǐbùnéngshuōwánquánzhèngquè。	In fact, he says that the Chinese name is a unity can not say exactly right.
因为从中国古代晋朝开始，人们的行辈意识逐渐加强，一个家族里同辈份的兄弟们，他们名字的第一个字都是相同的。	yīnwèicóngzhōngguógǔdàijìnzhāokāishǐ，rénmendexíngbèiyìshìzhújiànjiāqiáng，yīgèjiāzúlǐtóngbèifèndexiōngdìmen，tāmenmíngzìdedìyīgèzìdūshìxiāngtóngde。	Since the beginning of the Jin dynasty of ancient China, people's awareness of the gradual strengthening of positions in the family, a family of brothers in the same seniority, the first word of their name are the same.
只要一看这个行辈字就能辨识出他是哪一代的人。	zhǐyàoyīkànzhègèxíngbèizìjìunéngbiànshìchūtāshìnǎyīdàiderén。	Just one look Hangbei this word will be able to identify which generation of person he is.
每个家族都有一个《字辈谱》，所有人名字的第一个字都要按《字辈谱》的顺序来定。	měigèjiāzúdūyǒuyīgè《zìbèipǔ》，suǒyǒurénmíngzìdedìyīgèzìdūyàoàn《zìbèipǔ》deshùnxùláidìng。	Each family has a character generation spectrum, the name of the owner of the first word should be in order character generation spectrum to be.
比如毛泽东，泽是他这一辈人共用的字，他的兄、弟分别叫毛泽民和毛泽覃。	bǐrúmáozédōng，zéshìtāzhèyībèiréngòngyòngdezì，tādexiōng、dìfēnbiéjiàomáozémínhémáozétán。	Such as Mao Zedong, Ze is this generation who shared his words, his brother, younger brother were called Zemin and Mao Tan.
而他们的祖父辈用字是恩，父亲辈用字是贻，侄子辈用字是远。	értāmendezǔfùbèiyòngzìshìēn，fùqīnbèiyòngzìshìyí，zhízǐbèiyòngzìshìyuǎn。	And their grandfathers used word is grace, Yi father generation by word generation is far nephew with the word. 
他们四辈人在毛姓字辈谱中的顺序就是恩，贻，泽， 远。	tāmensìbèirénzàimáoxìngzìbèipǔzhōngdeshùnxùjìushìēn，yí，zé， yuǎn。	Them four generations in order Generation name surname Mao spectrum is grace, Yi Ze far.
但现在中国除了比较保守的偏远地代，人们已普遍不再按照《字辈谱》取名了，以我家的情况举例，我爷爷、爸爸辈仍然按照《字辈谱》取名，而到我这一辈就没有再使用了。	dànxiànzàizhōngguóchúlebǐjiàobǎoshǒudepiānyuǎndìdài，rénmenyǐpǔbiànbùzàiànzhào《zìbèipǔ》qǔmíngle，yǐwǒjiādeqíngkuàngjǔlì，wǒyéyé、bàbàbèiréngránànzhào《zìbèipǔ》qǔmíng，érdàowǒzhèyībèijìuméiyǒuzàishǐyòngle。	But now China in addition to more conservative in remote generations, people have generally not in accordance with the character generation spectrum, a name, a case in my family, for example, my grandfather, my father generation is still in accordance with the character generation spectrum name, but to me this a generation no longer be used.
